"","value","lat","long"
"1","cape town, south africa",-33.928992,18.417396
"2","port elizabeth, south africa",-33.9617051,25.6207519
"3","pretoria, south africa",-25.7459374,28.1879444
"4","johannesburg, south africa",-26.205,28.049722
"5","east london, south africa",-33.0191604,27.8998573
"6","mthatha, south africa",-31.589075,28.789145
"7","durban, south africa",-29.861825,31.009909
"8","bloemfontein, south africa",-29.116395,26.215496
"9","kimberley, south africa",-28.7383012,24.7642251
"10","rustenburg, south africa",-25.665655,27.241448
"11","polokwane, south africa",-23.9058333,29.4613889
